"filename", "language", "HTML", "JavaScript", "Markdown", "JSON", "Vue", "CSS", "SQL", "comment", "blank", "total"
"c:\Users\dark\Desktop\lxbishe\README.md", "Markdown", 0, 0, 115, 0, 0, 0, 0, 0, 35, 150
"c:\Users\dark\Desktop\lxbishe\admin\README.md", "Markdown", 0, 0, 19, 0, 0, 0, 0, 0, 6, 25
"c:\Users\dark\Desktop\lxbishe\admin\babel.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\dark\Desktop\lxbishe\admin\package-lock.json", "JSON", 0, 0, 0, 26118, 0, 0, 0, 0, 1, 26119
"c:\Users\dark\Desktop\lxbishe\admin\package.json", "JSON", 0, 0, 0, 58, 0, 0, 0, 0, 1, 59
"c:\Users\dark\Desktop\lxbishe\admin\public\index.html", "HTML", 19, 0, 0, 0, 0, 0, 0, 1, 3, 23
"c:\Users\dark\Desktop\lxbishe\admin\src\App.vue", "Vue", 0, 0, 0, 0, 13, 0, 0, 0, 4, 17
"c:\Users\dark\Desktop\lxbishe\admin\src\assets\css\ali.css", "CSS", 0, 0, 0, 0, 0, 17, 0, 0, 2, 19
"c:\Users\dark\Desktop\lxbishe\admin\src\components\HelloWorld.vue", "Vue", 0, 0, 0, 0, 56, 0, 0, 0, 3, 59
"c:\Users\dark\Desktop\lxbishe\admin\src\main.js", "JavaScript", 0, 73, 0, 0, 0, 0, 0, 18, 7, 98
"c:\Users\dark\Desktop\lxbishe\admin\src\plugins\element.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\dark\Desktop\lxbishe\admin\src\router\index.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 0, 3, 58
"c:\Users\dark\Desktop\lxbishe\admin\src\store\index.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 0, 7, 51
"c:\Users\dark\Desktop\lxbishe\admin\src\store\modules\user.js", "JavaScript", 0, 66, 0, 0, 0, 0, 0, 0, 3, 69
"c:\Users\dark\Desktop\lxbishe\admin\src\views\examine\comment.vue", "Vue", 0, 0, 0, 0, 327, 0, 0, 0, 12, 339
"c:\Users\dark\Desktop\lxbishe\admin\src\views\examine\contentexamine.vue", "Vue", 0, 0, 0, 0, 558, 0, 0, 0, 13, 571
"c:\Users\dark\Desktop\lxbishe\admin\src\views\kefu\fankui.vue", "Vue", 0, 0, 0, 0, 208, 0, 0, 1, 6, 215
"c:\Users\dark\Desktop\lxbishe\admin\src\views\kefu\jubao.vue", "Vue", 0, 0, 0, 0, 283, 0, 0, 1, 6, 290
"c:\Users\dark\Desktop\lxbishe\admin\src\views\kefu\shensu.vue", "Vue", 0, 0, 0, 0, 235, 0, 0, 1, 6, 242
"c:\Users\dark\Desktop\lxbishe\admin\src\views\login.vue", "Vue", 0, 0, 0, 0, 169, 0, 0, 1, 2, 172
"c:\Users\dark\Desktop\lxbishe\admin\src\views\loginparticles.vue", "Vue", 0, 0, 0, 0, 26, 0, 0, 17, 1, 44
"c:\Users\dark\Desktop\lxbishe\admin\src\views\main.vue", "Vue", 0, 0, 0, 0, 157, 0, 0, 0, 7, 164
"c:\Users\dark\Desktop\lxbishe\admin\src\views\management\carousel.vue", "Vue", 0, 0, 0, 0, 210, 0, 0, 1, 3, 214
"c:\Users\dark\Desktop\lxbishe\admin\src\views\management\managementlable.vue", "Vue", 0, 0, 0, 0, 135, 0, 0, 4, 7, 146
"c:\Users\dark\Desktop\lxbishe\admin\src\views\myself\myself.vue", "Vue", 0, 0, 0, 0, 220, 0, 0, 0, 5, 225
"c:\Users\dark\Desktop\lxbishe\admin\src\views\numbering\numbering.vue", "Vue", 0, 0, 0, 0, 255, 0, 0, 9, 4, 268
"c:\Users\dark\Desktop\lxbishe\admin\src\views\user\useradmin.vue", "Vue", 0, 0, 0, 0, 347, 0, 0, 2, 12, 361
"c:\Users\dark\Desktop\lxbishe\admin\src\views\user\useruser.vue", "Vue", 0, 0, 0, 0, 404, 0, 0, 6, 8, 418
"c:\Users\dark\Desktop\lxbishe\admin\vue.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\dark\Desktop\lxbishe\package-lock.json", "JSON", 0, 0, 0, 71, 0, 0, 0, 0, 1, 72
"c:\Users\dark\Desktop\lxbishe\server\index.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 4, 6, 42
"c:\Users\dark\Desktop\lxbishe\server\package-lock.json", "JSON", 0, 0, 0, 4038, 0, 0, 0, 0, 1, 4039
"c:\Users\dark\Desktop\lxbishe\server\package.json", "JSON", 0, 0, 0, 26, 0, 0, 0, 0, 1, 27
"c:\Users\dark\Desktop\lxbishe\server\plugins\DataBase.ini.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\dark\Desktop\lxbishe\server\plugins\config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\dark\Desktop\lxbishe\server\plugins\db.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 1, 1, 37
"c:\Users\dark\Desktop\lxbishe\server\plugins\jwt.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 39
"c:\Users\dark\Desktop\lxbishe\server\plugins\md5.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\dark\Desktop\lxbishe\server\routers\admin\index.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 5, 16, 55
"c:\Users\dark\Desktop\lxbishe\server\routers\admin\service.js", "JavaScript", 0, 699, 0, 0, 0, 0, 0, 38, 18, 755
"c:\Users\dark\Desktop\lxbishe\server\routers\web\index.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 7, 37, 68
